Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
OTHER,Zaroore Qula,,10 gm.,,,,20.13,
OTHER,Zaroore Qula,,1 Kg.,,,,1496.6,
PARPATI,Panchamrita Parpati,,5 gms.,,,,31.79,
PARPATI,Panchamrita Parpati,,100 gms.,,,,532.3,
PARPATI,Shvet Parpati,,10 gms.,,,,8.78,
PARPATI,Shvet Parpati,,100 gms.,,,,42.35,
PISHTI,Akikpishti,,5 gms.,,,,7.35,
PISHTI,Akikpishti,,100 gms.,,,,43.39,
PISHTI,Muktapishti,,2 gms.,,,,21.86,
PISHTI,Muktapishti,,5 gms.,,,,46.11,
PISHTI,Muktapishti,,10 gms.,,,,86.41,
PISHTI,Pravalpishti,,5 gms.,,,,81.16,
