Drug_Type,Name,Batch_No,Description,Stock,Manufacturing_Date,Expiration_Date,Price,Category
HABB & QURS,Qurs-e-Kafoor,,30 pill.,,,,18.69,HABB & QURS
HABB & QURS,Qurs-e-Kafoor,,1000 pill.,,,,370.16,HABB & QURS
HABB & QURS,Qurs-e-Mulyaiyan,,30 pill.,,,,32.7,HABB & QURS
HABB & QURS,Qurs-e-Mulyaiyan,,1000 pill.,,,,816.07,HABB & QURS
HABB & QURS,Qurs-e-Zarishk,,30 pill.,,,,18.18,HABB & QURS
HABB & QURS,Qurs-e-Zarishk,,1000 pill.,,,,354.04,HABB & QURS
HABB & QURS,Qurs-e-Ziabitus Sada,,30 pill.,,,,19.56,HABB & QURS
HABB & QURS,Qurs-e-Ziabitus Sada,,1000 pill.,,,,397.72,HABB & QURS
ITRIFAL,Itrifal Kishneezi,,100 gm.,,,,22.84,ITRIFAL
ITRIFAL,Itrifal Zamani,,100 gm.,,,,76.41,ITRIFAL
ITRIFAL,Itrifal-e-Shahtara,,100 gm.,,,,31.58,ITRIFAL
ITRIFAL,Itrifal-e-Ustukhuddus,,100 gm.,,,,27.21,ITRIFAL
JAWARISH,Jawarish -e- Shahi,,100 gm.,,,,26.37,JAWARISH
JAWARISH,Jawarish -e- Zarooni Sada,,100 gm.,,,,157.52,JAWARISH
JAWARISH,Jawarish-e- Kamooni,,100 gm.,,,,31.18,JAWARISH
JAWARISH,Jawarish-e- Pudina,,100 gm.,,,,79.4,JAWARISH
JAWARISH,Jawarish-e-Amla Sada,,100 gm.,,,,22.71,JAWARISH
JAWARISH,Jawarish-e-Anarain,,100 gm.,,,,96.78,JAWARISH
JAWARISH,Jawarish-e-Bisbasa,,100 gm.,,,,40.57,JAWARISH
JAWARISH,Jawarish-e-Jalinoos,,100 gm.,,,,198.38,JAWARISH
JAWARISH,Jawarish-e-Mastagi,,100 gm.,,,,77.86,JAWARISH
JAWARISH,Jawarish-e-Zanjabeel,,100 gm.,,,,42.72,JAWARISH
KHAMIRA,Khamira Abresham Sada,,60 gm.,,,,101.69,KHAMIRA
KHAMIRA,Khamira-e-Gaozuban Sada,,60 gm.,,,,23.83,KHAMIRA
KHAMIRA,Khamira-e-Marwareed (Khas),,60 gm.,,,,137.02,KHAMIRA
KUPI PAKVA,Rasamanikya,,5 gms.,,,,40.63,KUPI PAKVA
KUPI PAKVA,Rasamanikya,,100 gms.,,,,709.11,KUPI PAKVA
KUSHTA,Kushta-e- Faulad,,10 gm.,,,,11.81,KUSHTA
KUSHTA,Kushta-e- Godanti,,10 gm.,,,,14.6,KUSHTA
KUSHTA,Kushta-e- Marjan,,10 gm.,,,,209.13,KUSHTA
KUSHTA,Kushta-e- Sadaf,,10 gm.,,,,16.04,KUSHTA
KUSHTA,Kushta-e- Shankha,,10 gm.,,,,8.5,KUSHTA
KUSHTA,Kushta-e-Baiza-e-Murgh,,10 gm.,,,,7.1,KUSHTA
KVATHA CHOORNA,Br. Manjishthadi Kwatha,,100 gms.(K),,,,99.47,KVATHA CHOORNA
KVATHA CHOORNA,Dashmool Kvatha,,100 gms.(K),,,,30.94,KVATHA CHOORNA
KVATHA CHOORNA,Nagaradi Kvatha,,100 gms.(K),,,,32.88,KVATHA CHOORNA
KVATHA CHOORNA,Panchavalkal Kvatha,,100 gms.(K),,,,34.35,KVATHA CHOORNA
KVATHA CHOORNA,Pashanbhedadi Kvatha,,100 gms.(K),,,,77.48,KVATHA CHOORNA
KVATHA CHOORNA,Phalatrikadi Kvatha,,100 gms.(K),,,,31.98,KVATHA CHOORNA
KVATHA CHOORNA,Rasnairandadi Kvatha,,100 gms.(K),,,,184.21,KVATHA CHOORNA
KVATHA CHOORNA,Rasnairandadi Kvatha,,200 gms.,,,,358.04,KVATHA CHOORNA
KVATHA CHOORNA,Rasnasaptaka Kwatha,,100 gms.(K),,,,29.57,KVATHA CHOORNA
KVATHA CHOORNA,Trinpanchamool Kvatha,,100 gms.(K),,,,29.62,KVATHA CHOORNA
KVATHA CHOORNA,Varunadi Kwatha,,100 gms.(K),,,,41.35,KVATHA CHOORNA
LAUHA,Br.Yakradari Lauha,,10 gms.,,,,33.2,LAUHA
LAUHA,Br.Yakradari Lauha,,100 gms.,,,,286.7,LAUHA
LAUHA,Chandanadi Lauha,,10 gms.,,,,16.12,LAUHA
LAUHA,Chandanadi Lauha,,100 gms.,,,,115.75,LAUHA
LAUHA,Dhatri Lauha,,10 gms.,,,,10.43,LAUHA
LAUHA,Dhatri Lauha,,100 gms.,,,,58.89,LAUHA
LAUHA,Dhatri Lauha,,60 T/C,,,,39.27,LAUHA
LAUHA,Navayasa Lauha,,10 gms.,,,,15.87,LAUHA
LAUHA,Navayasa Lauha,,100 gms.,,,,113.27,LAUHA
LAUHA,Saptamrita Lauha,,10 gms.,,,,13.84,LAUHA
LAUHA,Saptamrita Lauha,,100 gms.,,,,93.02,LAUHA
LAUHA,Shilajatvadi Lauha,,10 gms.,,,,17.25,LAUHA
LAUHA,Shilajatvadi Lauha,,100 gms.,,,,127.04,LAUHA
LAUHA,Vidangadya Lauha,,10 gms.,,,,16.04,LAUHA
LAUHA,Vidangadya Lauha,,100 gms.,,,,114.94,LAUHA
LAUQ,Lauq-e-Khashkhaash,,100 gm.,,,,39.39,LAUQ
LAUQ,Lauq-e-Khiarshambar,,100 gm.,,,,22.76,LAUQ
LAUQ,Lauq-e-Sapistan,,100 gm.,,,,22.74,LAUQ
LEPA,Dadrughan Lepa,,10 gms.,,,,14.58,LEPA
LEPA,Dadrughan Lepa,,100 gms.,,,,100.38,LEPA
LEPA,Dashanga Lepa,,50 gms.,,,,51.82,LEPA
LEPA,Dashanga Lepa,,500 gms.,,,,441.46,LEPA
LEPA,Lepagutika,,10 gms.,,,,24.11,LEPA
LEPA,Lepagutika,,100 gms.,,,,195.73,LEPA
MAJOON,Anoshdaru,,100 gm.,,,,146.18,MAJOON
MAJOON,Dawa-ul-Misk Motadil Sada,,100 gm.,,,,129.32,MAJOON
MAJOON,Majoon Arad Khurma,,100 gm.,,,,40.3,MAJOON
MAJOON,Majoon Azaraqi,,100 gm.,,,,44.97,MAJOON
MAJOON,Majoon Chobchini,,100 gm.,,,,50.36,MAJOON
MAJOON,Majoon Dabeed-ul-Ward,,100 gm.,,,,110.02,MAJOON
MAJOON,Majoon Falasifa,,100 gm.,,,,54.45,MAJOON
MAJOON,Majoon Hajrul Yahood,,100 gm.,,,,33.9,MAJOON
MAJOON,Majoon Ispand Sokhatani,,100 gm.,,,,36.96,MAJOON
MAJOON,Majoon Jograj Gugal,,100 gm.,,,,55.68,MAJOON
MAJOON,Majoon Kundur,,100 gm.,,,,59.6,MAJOON
MAJOON,Majoon Najah,,100 gm.,,,,33.67,MAJOON
MAJOON,Majoon Piyaz,,100 gm.,,,,78.86,MAJOON
MAJOON,Majoon Rahul Momineen,,100 gm.,,,,39.3,MAJOON
MAJOON,Majoon Suparipak,,100 gm.,,,,83.72,MAJOON
MAJOON,Majoon Suranjan,,100 gm.,,,,33.63,MAJOON
MAJOON,Majoon Ushba,,100 gm.,,,,35.32,MAJOON
MAJOON,Majoon Zabeeb,,100 gm.,,,,43.05,MAJOON
