Drug Type,Name,Batch No,Description,Stock,Manufacturing Date,Expiration Date,Price,Category
Patent Medicines,Ayush 64 40 T/C,,,,,,,
Patent Medicines,Ayush 64 1000 T/C,,,,,,,
Patent Medicines,M-Liv 40 T/C,,,,,,,
Patent Medicines,M-Liv 1000 T/C,,,,,,,
Patent Medicines,M-Liv Syrup 100 ml,,,,,,,
Patent Medicines,M-Liv Syrup 200 ml,,,,,,,
Patent Medicines,M-Liv Syrup 450 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 100 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 200 ml,,,,,,,
Patent Medicines,M-Vasako Syrup 450 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 100 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 200 ml,,,,,,,
Patent Medicines,M-Shankhapushpi Syrup 450 ml,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 40 T/C,,,,,,,
Patent Medicines,M-Sarpagandha Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 40 T/C,,,,,,,
Patent Medicines,M-Tribhuvan Mishran 1000 T/C,,,,,,,
Patent Medicines,M-Brahmi Rasayan 100 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 5 gm,,,,,,,
Patent Medicines,M-Sudarshanghan Vati 100 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 50 gm,,,,,,,
Patent Medicines,M-Svadishta Virechan Choorna 1 kg,,,,,,,
Kvatha Choorna,Pashanbhedadi Kvatha 100 gm,,,,,,,
Kvatha Choorna,Panchavalkala Kvatha 100 gm,,,,,,,
Kvatha Choorna,Phalatrikadi Kvatha 100 gm,,,,,,,
Kvatha Choorna,Rasnairandadi Kvatha 100 gm,,,,,,,
Kvatha Choorna,Rasnairandadi Kvatha 200 gm,,,,,,,
Kvatha Choorna,Rasnasaptaka Kvatha 100 gm,,,,,,,
Kvatha Choorna,Trinpanchamool Kvatha 100 gm,,,,,,,
Kvatha Choorna,Varunadi Kvatha 100 gm,,,,,,,
Pishti,Akik Pishti 5 gm,,,,,,,
Pishti,Akik Pishti 100 gm,,,,,,,
Pishti,Muktapishti 5 gm,,,,,,,
Pishti,Muktapishti 10 gm,,,,,,,
Pishti,Praval Pishti 5 gm,,,,,,,
Pishti,Praval Pishti 100 gm,,,,,,,
Pishti,Praval Pishti 30 T/C,,,,,,,
Pishti,Sangeyahood Pishti 5 gm,,,,,,,
Pishti,Sangeyahood Pishti 100 gm,,,,,,,
Pishti,Trinkantmani Pishti 5 gm,,,,,,,
Avaleha & Pak,Agastyaharitaki Rasayan 100 gm,,,,,,,
Avaleha & Pak,Bilwadi Leha 100 gm,,,,,,,
Avaleha & Pak,Brahm Rasayan 100 gm,,,,,,,
Avaleha & Pak,Brahm Rasayan 450 gm,,,,,,,
Avaleha & Pak,Chitrakharitaki Rasayan 100 gm,,,,,,,
Avaleha & Pak,Chyavan Prash 180 gm,,,,,,,
Avaleha & Pak,Chyavan Prash 450 gm,,,,,,,
Avaleha & Pak,Haridra Khanda 100 gm,,,,,,,
Avaleha & Pak,Kantakaryavaleha (Syrup) 100 ml,,,,,,,
Avaleha & Pak,Kushmandaka Rasayana 100 gm,,,,,,,
Avaleha & Pak,Kushmandaka Rasayana 450 gm,,,,,,,
Avaleha & Pak,Kutajavaleha (Syrup) 100 ml,,,,,,,
Avaleha & Pak,Madhusnuhi Rasayan 100 gm,,,,,,,
Avaleha & Pak,Pugakhand (Suparipak) 100 gm,,,,,,,
Avaleha & Pak,Shatavari Guda 100 gm,,,,,,,
Avaleha & Pak,Saubhagyashunthi 100 gm,,,,,,,
Avaleha & Pak,Vasavaleha 100 gm,,,,,,,
Arka,Ark Saunfa (Mishreyark) 100 ml,,,,,,,
Arka,Ark Ajvayan (Yavanyarka) 100 ml,,,,,,,
Asava,Aravindasava 200 ml,,,,,,,
Asava,Aravindasava 450 ml,,,,,,,
Asava,Chandanasava 200 ml,,,,,,,
Asava,Chandanasava 450 ml,,,,,,,
Asava,Drakshasava 200 ml,,,,,,,
Asava,Drakshasava 450 ml,,,,,,,
Asava,Kanakasava 200 ml,,,,,,,
Asava,Kanakasava 450 ml,,,,,,,
Asava,Kumaryasava (A) 200 ml,,,,,,,
Asava,Kumaryasava (A) 450 ml,,,,,,,
Asava,Lohasava 200 ml,,,,,,,
Asava,Lohasava 450 ml,,,,,,,
Asava,Punarnavasava 200 ml,,,,,,,
Asava,Punarnavasava 450 ml,,,,,,,
Asava,Rodhrasava/Lodhrasava 200 ml,,,,,,,
Asava,Rodhrasava/Lodhrasava 450 ml,,,,,,,
Asava,Sarivadyasava 200 ml,,,,,,,
Asava,Sarivadyasava 450 ml,,,,,,,
Asava,Vaskasava (Vasakarishta) 200 ml,,,,,,,
Asava,Vaskasava (Vasakarishta) 450 ml,,,,,,,
Arishta,Abhayarishta 200 ml,,,,,,,
Arishta,Abhayarishta 450 ml,,,,,,,
Arishta,Amritarishta 200 ml,,,,,,,
Arishta,Amritarishta 450 ml,,,,,,,
Arishta,Arjunarishta 200 ml,,,,,,,
Arishta,Arjunarishta 450 ml,,,,,,,
Arishta,Ashokarishta 200 ml,,,,,,,
Arishta,Ashokarishta 450 ml,,,,,,,
Arishta,Ashvagandhadyarishta 200 ml,,,,,,,
Arishta,Ashvagandhadyarishta 450 ml,,,,,,,
Arishta,Balarishta 200 ml,,,,,,,
Arishta,Balarishta 450 ml,,,,,,,
Arishta,Dashmularishta 200 ml,,,,,,,
Arishta,Dashmularishta 450 ml,,,,,,,
Arishta,Jeerkadyarishta 200 ml,,,,,,,
Arishta,Jeerkadyarishta 450 ml,,,,,,,
Arishta,Khadirarishta 200 ml,,,,,,,
Arishta,Khadirarishta 450 ml,,,,,,,
Arishta,Kutajarishta 200 ml,,,,,,,
Arishta,Kutajarishta 450 ml,,,,,,,
Arishta,Mustakarishta 200 ml,,,,,,,
Arishta,Mustakarishta 450 ml,,,,,,,
Arishta,Rohitakarishta 200 ml,,,,,,,
Arishta,Rohitakarishta 450 ml,,,,,,,
Arishta,Vidangarishta 200 ml,,,,,,,
Arishta,Vidangarishta 450 ml,,,,,,,
Taila,Anu Taila 10 ml,,,,,,,
Taila,Apamargakshar Taila 10 ml,,,,,,,
Taila,Apamargakshar Taila 50 ml,,,,,,,
Taila,Arimedadi Taila 10 ml,,,,,,,
Taila,Balashvagandhalakshadi Taila 50 ml,,,,,,,
Taila,Bala Guduchyadi Taila 50 ml,,,,,,,
Taila,Bhringaraj Taila 50 ml,,,,,,,
